city,area,rooms,bathroom,parking,floor,petFriendly,furnished,hoa,rent,tax,fireInsurance,allSpace,allCost,costPerArea,costPerRoom
São Paulo,61,2,1,1,4,Yes,No,459,1850,0,24,4,483,7.918032786885246,120.75
Rio de Janeiro,130,3,2,1,7,Yes,No,1660,1700,475,22,6,2157,16.592307692307692,359.5
Rio de Janeiro,80,2,1,1,20,Yes,No,500,900,90,12,4,602,7.525,150.5
São Paulo,164,4,4,2,6,No,No,2159,5000,386,64,10,2609,15.908536585365853,260.9
Belo Horizonte,220,4,2,3,3,Yes,No,450,2422,125,33,9,608,2.7636363636363637,67.55555555555556
São Paulo,45,1,1,0,1,Yes,No,0,1050,46,16,2,62,1.3777777777777778,31.0
São Paulo,108,3,2,2,7,Yes,No,1290,5600,435,71,7,1796,16.62962962962963,256.57142857142856
Belo Horizonte,128,1,1,0,4,Yes,Yes,418,2100,182,28,2,628,4.90625,314.0
Rio de Janeiro,60,1,1,0,10,No,No,450,1800,48,24,2,522,8.7,261.0
São Paulo,250,4,5,4,6,Yes,No,2050,9800,998,125,13,3173,12.692,244.07692307692307
Porto Alegre,47,1,1,1,1,No,Yes,400,2200,0,33,3,433,9.212765957446809,144.33333333333334
Belo Horizonte,170,4,3,4,9,No,No,744,2700,296,36,11,1076,6.329411764705882,97.81818181818181
São Paulo,45,1,1,0,1,No,No,300,1240,0,16,2,316,7.022222222222222,158.0
São Paulo,42,1,1,1,15,Yes,No,686,3500,123,45,3,854,20.333333333333332,284.6666666666667
São Paulo,164,4,4,3,1,Yes,No,1840,6000,550,77,11,2467,15.042682926829269,224.27272727272728
São Paulo,70,3,1,1,1,Yes,No,700,1020,200,13,5,913,13.042857142857143,182.6
Porto Alegre,100,4,3,1,8,Yes,No,600,2200,159,33,8,792,7.92,99.0
São Paulo,64,2,2,2,4,Yes,Yes,1300,4500,440,58,6,1798,28.09375,299.6666666666667
Belo Horizonte,68,2,1,1,3,Yes,No,320,1200,27,16,4,363,5.338235294117647,90.75
Belo Horizonte,75,2,2,2,14,No,No,620,2500,264,34,6,918,12.24,153.0
São Paulo,600,4,4,4,9,Yes,No,7400,8500,3368,108,12,10876,18.126666666666665,906.3333333333334
São Paulo,63,2,2,0,15,No,No,590,1550,152,20,4,762,12.095238095238095,190.5
São Paulo,145,3,4,3,1,No,No,1200,6000,750,77,10,2027,13.979310344827587,202.7
São Paulo,85,2,2,2,3,No,No,1500,2800,292,36,6,1828,21.50588235294118,304.6666666666667
São Paulo,254,4,4,4,7,Yes,No,3366,9000,1800,115,12,5281,20.791338582677167,440.0833333333333
Porto Alegre,350,4,4,4,2,Yes,Yes,1,9000,359,160,12,520,1.4857142857142858,43.333333333333336
São Paulo,300,4,4,3,1,Yes,No,0,3500,584,53,11,637,2.1233333333333335,57.90909090909091
Belo Horizonte,296,4,3,2,1,Yes,No,0,13500,423,222,9,645,2.179054054054054,71.66666666666667
São Paulo,64,2,2,2,8,Yes,No,450,2800,30,36,6,516,8.0625,86.0
São Paulo,133,3,2,0,6,Yes,No,813,2957,38,38,5,889,6.684210526315789,177.8
Campinas,44,1,1,0,7,Yes,No,350,550,12,7,2,369,8.386363636363637,184.5
Campinas,240,3,4,2,1,Yes,No,0,3000,250,46,9,296,1.2333333333333334,32.888888888888886
Porto Alegre,70,3,2,1,4,Yes,No,490,2500,8,37,6,535,7.642857142857143,89.16666666666667
São Paulo,22,1,1,0,26,Yes,No,302,2050,45,26,2,373,16.954545454545453,186.5
Porto Alegre,50,1,1,1,1,Yes,No,350,950,50,14,3,414,8.28,138.0
Porto Alegre,67,3,2,2,4,Yes,No,600,2200,50,33,7,683,10.194029850746269,97.57142857142857
São Paulo,31,1,1,0,6,Yes,Yes,430,2300,0,30,2,460,14.838709677419354,230.0
Rio de Janeiro,90,2,1,1,1,Yes,Yes,850,3468,191,45,4,1086,12.066666666666666,271.5
Rio de Janeiro,109,3,3,1,1,Yes,No,2000,3800,300,49,7,2349,21.55045871559633,335.57142857142856
Belo Horizonte,400,4,2,2,1,No,No,0,2500,74,41,8,115,0.2875,14.375
São Paulo,300,4,5,4,1,Yes,Yes,0,14000,1167,211,13,1378,4.593333333333334,106.0
Campinas,284,4,3,3,4,Yes,No,2340,6000,483,77,10,2900,10.211267605633802,290.0
Porto Alegre,70,2,1,1,3,Yes,Yes,360,2400,30,36,4,426,6.085714285714285,106.5
Rio de Janeiro,309,4,5,4,7,Yes,No,2661,6500,682,84,13,3427,11.090614886731391,263.61538461538464
São Paulo,70,2,1,0,1,Yes,No,0,2100,134,32,3,166,2.3714285714285714,55.333333333333336
São Paulo,360,3,4,1,10,Yes,No,2300,10000,584,127,8,3011,8.363888888888889,376.375
São Paulo,30,1,1,1,10,No,No,886,1500,0,20,3,906,30.2,302.0
Campinas,80,2,2,2,11,Yes,No,832,2200,171,28,6,1031,12.8875,171.83333333333334
Belo Horizonte,133,4,4,3,6,No,No,1500,7000,800,94,11,2394,18.0,217.63636363636363
São Paulo,38,1,1,1,14,No,Yes,1620,2800,279,36,3,1935,50.921052631578945,645.0
São Paulo,73,2,2,1,7,Yes,No,1100,3500,100,45,5,1245,17.054794520547944,249.0
São Paulo,155,3,4,2,4,Yes,No,1500,2000,150,26,9,1676,10.812903225806451,186.22222222222223
São Paulo,63,2,2,1,15,Yes,No,357,3200,50,41,5,448,7.111111111111111,89.6
São Paulo,58,2,1,1,1,Yes,No,0,1400,0,18,4,18,0.3103448275862069,4.5
São Paulo,48,1,1,0,9,No,Yes,377,3450,0,44,2,421,8.770833333333334,210.5
São Paulo,210,3,4,3,7,Yes,No,1700,2790,834,36,10,2570,12.238095238095237,257.0
Belo Horizonte,100,3,2,2,2,Yes,No,340,1600,183,22,7,545,5.45,77.85714285714286
São Paulo,94,3,2,2,1,Yes,No,1337,3570,140,46,7,1523,16.20212765957447,217.57142857142858
São Paulo,94,3,3,2,3,Yes,Yes,1220,5010,395,64,8,1679,17.861702127659573,209.875
São Paulo,76,3,1,1,4,Yes,No,1200,2500,267,32,5,1499,19.723684210526315,299.8
São Paulo,192,3,3,2,13,Yes,No,2100,7800,634,99,8,2833,14.755208333333334,354.125
São Paulo,217,3,4,3,1,Yes,No,2884,6500,0,83,10,2967,13.672811059907835,296.7
São Paulo,68,2,1,1,5,Yes,No,610,1400,35,18,4,663,9.75,165.75
São Paulo,110,3,2,2,2,Yes,No,1145,2400,247,31,7,1423,12.936363636363636,203.28571428571428
Belo Horizonte,95,2,2,1,3,Yes,No,660,1600,164,22,5,846,8.905263157894737,169.2
São Paulo,900,4,6,8,1,Yes,No,0,15000,4417,226,18,4643,5.158888888888889,257.94444444444446
São Paulo,34,1,1,0,5,No,No,347,1200,45,16,2,408,12.0,204.0
São Paulo,192,3,4,3,5,Yes,No,2000,8000,0,102,10,2102,10.947916666666666,210.2
Porto Alegre,62,2,2,1,9,Yes,No,350,1800,75,27,5,452,7.290322580645161,90.4
São Paulo,180,3,3,4,1,Yes,No,0,3700,184,56,10,240,1.3333333333333333,24.0
Campinas,44,1,1,0,3,Yes,Yes,350,916,12,12,2,374,8.5,187.0
Belo Horizonte,100,2,1,1,1,No,No,250,1700,116,23,4,389,3.89,97.25
Rio de Janeiro,140,3,3,1,24,No,No,900,1370,100,18,7,1018,7.271428571428571,145.42857142857142
São Paulo,170,3,3,3,8,Yes,Yes,1570,2800,648,36,9,2254,13.258823529411766,250.44444444444446
São Paulo,100,3,2,2,1,No,No,0,1600,150,25,7,175,1.75,25.0
São Paulo,75,3,2,2,4,Yes,No,652,1600,82,21,7,755,10.066666666666666,107.85714285714286
Rio de Janeiro,52,2,1,0,2,Yes,No,200,1200,43,16,3,259,4.980769230769231,86.33333333333333
Campinas,999,5,7,8,1,Yes,No,0,14000,667,211,20,878,0.8788788788788788,43.9
São Paulo,270,4,4,4,8,Yes,No,2200,7000,1500,89,12,3789,14.033333333333333,315.75
Belo Horizonte,50,2,1,1,1,Yes,No,160,930,60,13,4,233,4.66,58.25
Campinas,200,3,3,2,1,Yes,No,650,2210,184,34,8,868,4.34,108.5
São Paulo,71,2,2,0,16,Yes,No,430,1920,100,25,4,555,7.816901408450704,138.75
São Paulo,500,5,4,6,1,Yes,No,0,13000,250,196,15,446,0.892,29.733333333333334
São Paulo,60,2,1,0,1,Yes,No,0,1080,94,17,3,111,1.85,37.0
São Paulo,110,2,1,0,8,Yes,No,1100,1300,84,17,3,1201,10.918181818181818,400.3333333333333
São Paulo,210,3,3,4,1,Yes,No,0,3294,276,50,10,326,1.5523809523809524,32.6
São Paulo,220,3,4,3,8,Yes,No,2021,6000,996,77,10,3094,14.063636363636364,309.4
Belo Horizonte,200,3,2,5,1,No,No,0,4000,204,66,10,270,1.35,27.0
São Paulo,130,3,4,3,2,Yes,No,2300,4250,502,54,10,2856,21.96923076923077,285.6
São Paulo,65,2,2,2,7,Yes,Yes,1037,4000,245,51,6,1333,20.50769230769231,222.16666666666666
São Paulo,96,3,2,2,17,Yes,No,804,3200,250,41,7,1095,11.40625,156.42857142857142
São Paulo,660,4,5,5,12,Yes,Yes,4800,20000,1750,254,14,6804,10.309090909090909,486.0
Rio de Janeiro,107,3,2,0,7,Yes,Yes,1460,3200,270,42,5,1772,16.560747663551403,354.4
Rio de Janeiro,105,3,2,0,1,Yes,No,740,2200,9,29,5,778,7.40952380952381,155.6
Rio de Janeiro,100,3,2,0,7,Yes,No,900,3290,109,43,5,1052,10.52,210.4
São Paulo,287,3,4,4,1,Yes,Yes,0,9000,430,136,11,566,1.9721254355400697,51.45454545454545
Campinas,24,1,1,0,1,No,Yes,230,1180,9,15,2,254,10.583333333333334,127.0
São Paulo,22,1,1,0,1,No,No,0,976,0,15,2,15,0.6818181818181818,7.5
São Paulo,70,1,1,1,1,No,No,0,2529,142,39,3,181,2.585714285714286,60.333333333333336
Porto Alegre,44,1,1,1,2,Yes,Yes,250,1500,17,22,3,289,6.568181818181818,96.33333333333333
São Paulo,150,3,2,2,1,No,No,0,2500,0,38,7,38,0.25333333333333335,5.428571428571429
São Paulo,90,1,2,2,9,Yes,Yes,998,2900,220,37,5,1255,13.944444444444445,251.0
São Paulo,200,4,4,2,8,Yes,Yes,3000,2800,830,36,10,3866,19.33,386.6
São Paulo,320,8,4,0,1,Yes,No,450,10500,350,158,12,958,2.99375,79.83333333333333
Porto Alegre,90,2,1,1,2,No,No,550,1700,110,25,4,685,7.611111111111111,171.25
São Paulo,240,4,4,3,9,Yes,No,2500,2144,834,28,11,3362,14.008333333333333,305.6363636363636
São Paulo,154,4,3,3,21,Yes,No,1684,7000,1020,89,10,2793,18.136363636363637,279.3
São Paulo,60,2,2,2,2,Yes,No,2340,3230,284,41,6,2665,44.416666666666664,444.1666666666667
Campinas,101,3,2,0,5,Yes,No,780,2380,91,31,5,902,8.930693069306932,180.4
Porto Alegre,140,3,4,2,2,No,No,0,3090,0,55,9,55,0.39285714285714285,6.111111111111111
São Paulo,500,4,5,8,1,Yes,No,0,15000,1850,226,17,2076,4.152,122.11764705882354
São Paulo,110,3,3,3,4,Yes,No,1195,2350,687,30,9,1912,17.381818181818183,212.44444444444446
São Paulo,110,3,3,2,1,Yes,No,0,4800,50,73,8,123,1.1181818181818182,15.375
Belo Horizonte,90,2,2,2,3,Yes,No,200,2000,84,27,6,311,3.4555555555555557,51.833333333333336
São Paulo,384,4,6,4,3,No,Yes,3500,15000,344,191,14,4035,10.5078125,288.2142857142857
São Paulo,57,2,1,1,7,Yes,No,570,1500,67,20,4,657,11.526315789473685,164.25
São Paulo,160,3,3,2,5,Yes,Yes,1650,1500,419,20,8,2089,13.05625,261.125
São Paulo,39,1,1,0,8,Yes,No,330,1250,19,16,2,365,9.35897435897436,182.5
Campinas,78,1,2,1,4,Yes,No,0,2290,143,30,4,173,2.217948717948718,43.25
Porto Alegre,36,1,1,1,2,Yes,No,0,762,15,14,3,29,0.8055555555555556,9.666666666666666
Campinas,70,2,1,1,1,Yes,No,558,1200,0,16,4,574,8.2,143.5
Belo Horizonte,45,1,1,1,4,No,Yes,300,3200,0,43,3,343,7.622222222222222,114.33333333333333
São Paulo,200,3,4,3,1,Yes,No,3500,8500,1250,108,10,4858,24.29,485.8
São Paulo,100,3,3,3,1,Yes,No,0,4300,120,65,9,185,1.85,20.555555555555557
São Paulo,42,1,1,1,14,No,No,0,5000,0,64,3,64,1.5238095238095237,21.333333333333332
São Paulo,280,4,4,1,1,Yes,Yes,3000,8000,292,102,9,3394,12.121428571428572,377.1111111111111
São Paulo,28,1,1,1,13,No,Yes,615,2800,42,36,3,693,24.75,231.0
São Paulo,30,1,1,0,1,No,Yes,296,1826,30,24,2,350,11.666666666666666,175.0
Belo Horizonte,85,3,2,1,1,Yes,No,337,1500,88,20,6,445,5.235294117647059,74.16666666666667
Campinas,83,1,1,1,4,No,No,500,1080,59,14,3,573,6.903614457831325,191.0
Campinas,85,3,2,2,16,Yes,Yes,550,3300,150,42,7,742,8.729411764705882,106.0
Belo Horizonte,90,3,2,2,3,Yes,No,325,1600,105,22,7,452,5.022222222222222,64.57142857142857
Belo Horizonte,50,2,1,0,5,Yes,No,0,900,100,12,3,112,2.24,37.333333333333336
Rio de Janeiro,50,1,1,0,8,Yes,No,600,2900,134,38,2,772,15.44,386.0
Belo Horizonte,300,3,2,3,1,No,No,0,6700,539,110,8,649,2.1633333333333336,81.125
Porto Alegre,39,1,1,0,7,Yes,No,350,850,27,13,2,390,10.0,195.0
São Paulo,750,4,4,6,1,Yes,No,0,15000,2084,226,14,2310,3.08,165.0
Porto Alegre,60,2,1,0,1,Yes,No,222,1100,46,17,3,285,4.75,95.0
Rio de Janeiro,68,2,1,0,4,No,No,750,1250,9,17,3,776,11.411764705882353,258.6666666666667
São Paulo,70,2,1,1,1,Yes,No,230,1250,50,16,4,296,4.228571428571429,74.0
São Paulo,90,2,2,1,6,Yes,Yes,900,6500,89,83,5,1072,11.911111111111111,214.4
Rio de Janeiro,258,5,6,0,2,Yes,No,0,8700,670,133,11,803,3.112403100775194,73.0
São Paulo,200,2,2,6,1,Yes,No,0,4500,292,68,10,360,1.8,36.0
São Paulo,123,2,2,2,6,Yes,No,1800,2990,625,38,6,2463,20.024390243902438,410.5
São Paulo,127,3,2,2,1,Yes,Yes,220,2150,67,33,7,320,2.5196850393700787,45.714285714285715
Belo Horizonte,180,4,2,2,1,Yes,No,0,1800,210,30,8,240,1.3333333333333333,30.0
São Paulo,110,3,2,0,1,No,No,0,2900,384,44,5,428,3.890909090909091,85.6
Rio de Janeiro,70,2,2,1,7,Yes,Yes,585,1719,77,23,5,685,9.785714285714286,137.0
São Paulo,35,1,1,1,8,Yes,Yes,720,3000,130,39,3,889,25.4,296.3333333333333
São Paulo,219,3,2,2,1,Yes,No,0,2900,150,44,7,194,0.8858447488584474,27.714285714285715
Rio de Janeiro,25,1,1,0,2,Yes,No,50,700,0,10,2,60,2.4,30.0
Rio de Janeiro,170,4,5,0,10,Yes,No,1200,7100,639,92,9,1931,11.358823529411765,214.55555555555554
Rio de Janeiro,45,1,1,0,8,Yes,No,900,1570,98,21,2,1019,22.644444444444446,509.5
Belo Horizonte,420,4,4,2,1,No,No,0,7000,200,115,10,315,0.75,31.5
Porto Alegre,46,1,1,0,4,Yes,No,0,1040,48,16,2,64,1.391304347826087,32.0
São Paulo,145,3,3,2,1,Yes,Yes,1088,5800,250,74,8,1412,9.73793103448276,176.5
Belo Horizonte,59,2,2,1,2,Yes,No,190,1100,59,15,5,264,4.47457627118644,52.8
Belo Horizonte,225,4,3,0,8,Yes,No,1850,7500,466,100,7,2416,10.737777777777778,345.14285714285717
São Paulo,210,4,4,3,3,Yes,No,2270,4675,1110,60,11,3440,16.38095238095238,312.72727272727275
Porto Alegre,76,1,1,0,2,Yes,No,209,1249,52,19,2,280,3.6842105263157894,140.0
São Paulo,220,3,4,3,2,No,No,2500,5150,1250,66,10,3816,17.345454545454544,381.6
São Paulo,109,3,2,2,7,Yes,No,1746,2500,134,32,7,1912,17.541284403669724,273.14285714285717
Belo Horizonte,95,2,1,1,3,Yes,No,646,1000,120,14,4,780,8.210526315789474,195.0
São Paulo,32,1,1,0,1,No,No,280,1500,50,20,2,350,10.9375,175.0
São Paulo,480,4,6,5,9,Yes,No,6660,15000,3063,191,15,9914,20.654166666666665,660.9333333333333
São Paulo,53,1,1,1,3,Yes,No,694,4390,200,56,3,950,17.92452830188679,316.6666666666667
São Paulo,40,1,1,0,1,No,No,0,780,17,12,2,29,0.725,14.5
São Paulo,50,1,1,1,4,Yes,Yes,500,3223,100,41,3,641,12.82,213.66666666666666
São Paulo,60,1,1,0,1,Yes,No,0,1300,255,20,2,275,4.583333333333333,137.5
Porto Alegre,64,2,2,2,7,No,No,450,1500,50,22,6,522,8.15625,87.0
Rio de Janeiro,140,3,3,2,4,Yes,Yes,2280,12000,535,155,8,2970,21.214285714285715,371.25
São Paulo,121,3,3,1,12,Yes,No,800,2040,334,26,7,1160,9.586776859504132,165.71428571428572
Campinas,43,1,1,1,4,Yes,Yes,498,2100,84,27,3,609,14.162790697674419,203.0
São Paulo,20,1,1,1,3,No,Yes,1700,1360,0,18,3,1718,85.9,572.6666666666666
Campinas,58,2,1,1,3,Yes,No,289,950,11,13,4,313,5.396551724137931,78.25
Belo Horizonte,570,5,6,7,1,Yes,Yes,0,8330,873,137,18,1010,1.7719298245614035,56.111111111111114
São Paulo,88,2,1,1,2,Yes,No,980,2790,0,36,4,1016,11.545454545454545,254.0
São Paulo,89,3,2,2,19,Yes,No,900,6000,184,77,7,1161,13.044943820224718,165.85714285714286
Porto Alegre,47,1,1,1,1,No,Yes,400,2200,0,33,3,433,9.212765957446809,144.33333333333334
São Paulo,40,1,1,0,1,Yes,No,0,1100,50,17,2,67,1.675,33.5
Rio de Janeiro,40,1,1,0,1,Yes,Yes,386,1950,91,26,2,503,12.575,251.5
Rio de Janeiro,60,1,2,1,3,Yes,No,400,750,80,10,4,490,8.166666666666666,122.5
São Paulo,25,1,1,0,14,Yes,No,257,1650,0,21,2,278,11.12,139.0
Porto Alegre,50,2,1,0,13,Yes,No,340,1130,30,17,3,387,7.74,129.0
Porto Alegre,90,3,1,0,1,Yes,No,145,1130,55,17,4,217,2.411111111111111,54.25
São Paulo,173,3,3,3,2,Yes,No,3000,2000,825,26,9,3851,22.260115606936417,427.8888888888889
Campinas,91,3,2,2,12,Yes,No,700,2250,175,29,7,904,9.934065934065934,129.14285714285714
São Paulo,90,3,2,2,6,No,No,1710,1200,109,16,7,1835,20.38888888888889,262.14285714285717
São Paulo,530,5,6,4,2,Yes,Yes,8300,15000,5000,191,15,13491,25.454716981132076,899.4
São Paulo,40,1,1,0,1,No,No,0,1300,0,17,2,17,0.425,8.5
São Paulo,296,4,5,3,3,Yes,No,0,15000,0,191,12,191,0.6452702702702703,15.916666666666666
São Paulo,87,3,2,1,17,Yes,No,850,1400,200,18,6,1068,12.275862068965518,178.0
São Paulo,300,3,3,5,1,Yes,No,0,5000,584,76,11,660,2.2,60.0
São Paulo,136,3,3,3,13,Yes,No,1430,4206,364,54,9,1848,13.588235294117647,205.33333333333334
São Paulo,52,2,1,0,4,Yes,No,0,1340,0,17,3,17,0.3269230769230769,5.666666666666667
Porto Alegre,94,2,2,2,8,Yes,No,600,2900,230,43,6,873,9.287234042553191,145.5
Rio de Janeiro,300,4,5,3,7,Yes,No,3850,12750,750,165,12,4765,15.883333333333333,397.0833333333333
Rio de Janeiro,100,3,3,1,3,Yes,No,850,3229,100,42,7,992,9.92,141.71428571428572
São Paulo,500,4,6,3,1,Yes,No,6466,7300,2536,110,13,9112,18.224,700.9230769230769
São Paulo,240,3,4,3,3,Yes,Yes,3600,4950,1000,63,10,4663,19.429166666666667,466.3
Belo Horizonte,308,2,3,3,1,Yes,No,0,2000,171,33,8,204,0.6623376623376623,25.5
São Paulo,350,4,5,4,15,Yes,Yes,2700,4590,1334,59,13,4093,11.694285714285714,314.84615384615387
São Paulo,75,2,2,0,2,Yes,No,570,1450,0,19,4,589,7.8533333333333335,147.25
São Paulo,155,3,2,3,4,Yes,Yes,2600,11700,667,149,8,3416,22.038709677419355,427.0
São Paulo,260,3,5,4,12,Yes,No,2227,6000,1468,77,12,3772,14.507692307692308,314.3333333333333
São Paulo,80,2,2,1,1,No,No,0,1500,184,23,5,207,2.5875,41.4
Rio de Janeiro,85,3,1,1,6,Yes,No,810,1998,87,26,5,923,10.858823529411765,184.6
São Paulo,120,2,2,2,22,No,Yes,1400,3500,375,45,6,1820,15.166666666666666,303.3333333333333
São Paulo,100,2,2,1,1,Yes,No,0,1970,0,30,5,30,0.3,6.0
São Paulo,240,4,5,4,6,No,No,1869,3500,717,45,13,2631,10.9625,202.3846153846154
São Paulo,360,7,6,6,1,Yes,No,0,5270,245,80,19,325,0.9027777777777778,17.105263157894736
São Paulo,42,1,1,0,1,No,No,0,1100,0,17,2,17,0.40476190476190477,8.5
São Paulo,33,1,1,1,14,Yes,Yes,600,2800,112,36,3,748,22.666666666666668,249.33333333333334
Rio de Janeiro,48,1,1,0,1,No,No,626,1020,53,14,2,693,14.4375,346.5
Rio de Janeiro,36,1,1,0,5,Yes,No,350,1130,42,15,2,407,11.305555555555555,203.5
São Paulo,270,6,3,6,1,Yes,No,0,4500,417,68,15,485,1.7962962962962963,32.333333333333336
